service_id,date,exception_type
2773279,20190421,1
2773279,20190609,1
12773278,20190128,1
12773278,20190204,1
12773278,20190211,1
12773278,20190218,1
12773278,20190225,1
12773278,20190304,1
12773278,20190311,1
12773278,20190318,1
12773278,20190325,1
12773278,20190401,1
12773278,20190408,1
12773278,20190415,1
12773278,20190423,1
12773278,20190429,1
12773278,20190502,1
12773278,20190506,1
12773278,20190509,1
12773278,20190513,1
12773278,20190520,1
12773278,20190527,1
12773278,20190531,1
12773278,20190603,1
12773278,20190611,1
12773278,20190617,1
12773278,20190624,1
12773278,20190701,1
12773279,20190422,1
12773279,20190610,1
2773292,20190301,1
2773292,20190308,1
2773292,20190426,1
2773292,20190430,1
2773292,20190503,1
2773292,20190607,1
2773292,20190614,1
2773292,20190628,1
2773290,20190719,1
2773281,20190122,1
2773281,20190123,1
2773281,20190124,1
2773281,20190128,1
2773281,20190129,1
2773281,20190130,1
2773281,20190131,1
2773281,20190204,1
2773281,20190205,1
2773281,20190206,1
2773281,20190207,1
2773281,20190211,1
2773281,20190212,1
2773281,20190213,1
2773281,20190214,1
2773281,20190218,1
2773281,20190219,1
2773281,20190220,1
2773281,20190221,1
2773281,20190311,1
2773281,20190312,1
2773281,20190313,1
2773281,20190314,1
2773281,20190318,1
2773281,20190319,1
2773281,20190320,1
2773281,20190321,1
2773281,20190325,1
2773281,20190326,1
2773281,20190327,1
2773281,20190328,1
2773281,20190401,1
2773281,20190402,1
2773281,20190403,1
2773281,20190404,1
2773281,20190408,1
2773281,20190409,1
2773281,20190410,1
2773281,20190411,1
2773281,20190415,1
2773281,20190416,1
2773281,20190417,1
2773281,20190418,1
2773281,20190506,1
2773281,20190509,1
2773281,20190513,1
2773281,20190514,1
2773281,20190515,1
2773281,20190516,1
2773281,20190520,1
2773281,20190521,1
2773281,20190522,1
2773281,20190523,1
2773281,20190527,1
2773281,20190528,1
2773280,20190707,1
2773285,20190225,1
2773285,20190226,1
2773285,20190227,1
2773285,20190228,1
2773285,20190304,1
2773285,20190305,1
2773285,20190306,1
2773285,20190307,1
2773285,20190423,1
2773285,20190424,1
2773285,20190425,1
2773285,20190429,1
2773285,20190502,1
2773285,20190603,1
2773285,20190604,1
2773285,20190605,1
2773285,20190606,1
2773285,20190611,1
2773285,20190612,1
2773285,20190613,1
2773285,20190617,1
2773285,20190618,1
2773285,20190619,1
2773285,20190620,1
2773285,20190624,1
2773285,20190625,1
2773285,20190626,1
2773285,20190627,1
12773292,20190302,1
12773292,20190309,1
12773292,20190427,1
12773292,20190501,1
12773292,20190504,1
12773292,20190608,1
12773292,20190615,1
12773292,20190629,1
2773284,20190701,1
2773284,20190702,1
2773284,20190703,1
2773284,20190704,1
2773284,20190708,1
2773284,20190709,1
2773284,20190710,1
2773284,20190711,1
2773283,20190715,1
2773283,20190716,1
2773283,20190717,1
2773283,20190718,1
2773282,20190621,1
2773289,20190125,1
2773289,20190201,1
2773289,20190208,1
2773289,20190215,1
2773289,20190222,1
2773289,20190315,1
2773289,20190322,1
2773289,20190329,1
2773289,20190405,1
2773289,20190412,1
2773289,20190419,1
2773289,20190507,1
2773289,20190510,1
2773289,20190517,1
2773289,20190524,1
2773289,20190529,1
2773288,20190531,1
2773288,20190705,1
2773288,20190712,1
2773287,20190706,1
2773287,20190713,1
2773287,20190714,1
2773287,20190720,1
12773290,20190720,1
2773286,20190126,1
2773286,20190202,1
2773286,20190209,1
2773286,20190216,1
2773286,20190223,1
2773286,20190302,1
2773286,20190309,1
2773286,20190316,1
2773286,20190323,1
2773286,20190330,1
2773286,20190406,1
2773286,20190413,1
2773286,20190420,1
2773286,20190427,1
2773286,20190504,1
2773286,20190511,1
2773286,20190518,1
2773286,20190525,1
2773286,20190601,1
2773286,20190608,1
2773286,20190615,1
2773286,20190622,1
2773286,20190629,1
12773287,20190707,1
